ID,Year,Impact.factor,Peer.reviewed,Acoustic.Indices,Taxonomic.group,Environment,Biodiversity.parameter,Diversity.source,Pseudoreplication,Pseudoreplication.type,sample.size,Adjusted.sample.size,Independence,Statistical_test,R2,r,MSE,st_error,t,F,df,Significacion,slope,confidence _interval
1262,2011,2.7,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,60,20,1,spearman,NA,0.94,NA,NA,NA,NA,NA,0.01,NA,NA
1262,2011,2.7,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,600,20,1,spearman,NA,0.77,NA,NA,NA,NA,NA,0.01,NA,NA
1262,2011,2.7,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,600,20,1,spearman,NA,0.79,NA,NA,NA,NA,NA,0.01,NA,NA
1262,2011,2.7,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,600,20,1,spearman,NA,0.8,NA,NA,NA,NA,NA,0.01,NA,NA
1262,2011,2.7,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,600,20,1,spearman,NA,0.82,NA,NA,NA,NA,NA,0.01,NA,NA
53,2019,4.49,YES,ACI,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.02,NA,NA,NA,NA,NA,0.456,NA,"0,020–0,960"
53,2019,4.49,YES,ACI,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,ACI,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.5,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,ACI,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0,NA,NA,NA,NA,NA,0.498,NA,"0,038–0,972"
53,2019,4.49,YES,ACI,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.034,NA,"0,001–0,525"
53,2019,4.49,YES,ACI,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.1,NA,NA,NA,NA,NA,0.041,NA,"0,001–0,771"
53,2019,4.49,YES,H,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.054,NA,"0,001–0,876"
53,2019,4.49,YES,H,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,016"
53,2019,4.49,YES,H,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,H,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.116,NA,"0,001–0,894"
53,2019,4.49,YES,H,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.1,NA,NA,NA,NA,NA,0.217,NA,"0,010–0,930"
53,2019,4.49,YES,H,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.01,NA,NA,NA,NA,NA,0.433,NA,"0,014–0,968"
53,2019,4.49,YES,Hf,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.005,NA,"0,001–0,315"
53,2019,4.49,YES,Hf,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.273,NA,"0,002–0,935"
