ID,Authors,Publ_year,Title,doi,Journal
11,Bertucci et al.,2016,Acoustic indices provide information on the status of coral reefs: an example from Moorea Island in the South Pacific,10.1038/srep33326,Sci Rep
6,Boelman et al.,2007,"Multi-trophic invasion resistance in Hawaii: bioacoustics, field surveys, and airborne remote sensing",10.1890/07-0004.1,Ecol. Apli.
70,Bolgan et al.,2018,Acoustic Complexity of vocal fish communities: a field and controlled validation,10.1038/s41598-018-28771-6,Sci Rep
10,Buscaino et al.,2016,Temporal patterns in the soundscape of the shallow waters of a Mediterranean marine protected area,10.1038/srep34230,Sci Rep
251,Buxton et al.,2016,Using bioacoustics to examine shifts in songbird phenology,10.1002/ece3.2242,Ecol. Evol.
1132,Depraetere et al.,2013,Monitoring animal diversity using acoustic indices: Implementation in a temperate woodland,10.1016/j.ecolind.2011.05.006,Ecol. Indic.
2,Desjonquères et al.,2015,First description of underwater acoustic diversity in three temperate ponds,10.7717/peerj.1393,PeerJ
87,Eldridge et al.,2018,Sounding out ecoacoustic metrics: Avian species richness is predicted by acoustic indices in temperate but not tropical habitats,10.1016/j.ecolind.2018.06.012,Ecol. Indic.
77,Fairbrass et al.,2017,Biases of acoustic indices measuring biodiversity in urban areas,10.1016/j.ecolind.2017.07.064,Ecol. Indic.
90,Ferreira et al. ,2018,"What do insects, anurans, birds, and mammals have to say about soundscape indices in a tropical savanna",10.22261/JEA.PVH6YZ,Journal of ecoacoustics
427,Fuller et al.,2015,Connecting soundscape to landscape: Which acoustic index best describes landscape configuration?,10.1016/j.ecolind.2015.05.057,Ecol. Indic.
89,Gage et al.,2017,"Acoustic patterns at the Samford Ecological Research Facility in South East Queensland, Australia: The Peri-Urban SuperSite of the Terrestrial Ecosystem Research Network",10.1016/j.ecoinf.2017.01.002,Ecol. Inform.
9,Harris et al.,2016,Ecoacoustic indices as proxies for biodiversity on temperate reefs,10.1111/2041-210X.12527,Methods Ecol. Evol.
86,Indraswari et al.,2018,Assessing the value of acoustic indices to distinguish species and quantify activity: A case study using frogs,10.1111/fwb.13222,Freshw. Biol.
96,Izaguirre et al. ,2018,Acoustic indices applied to biodiversity monitoring in a Costa Rica dry tropical forest,10.22261/JEA.TNW2NP,Journal of ecoacoustics
1177,Joo et al.,2011,Analysis and interpretation of variability in soundscapes along an urban-rural gradient,10.1016/j.landurbplan.2011.08.001,Landsc. Urban Plan.
2977,Jorge et al.,2018,The effectiveness of acoustic indices for forest monitoring in Atlantic rainforest fragments,10.1016/j.ecolind.2018.04.001,Ecol. Indic.
44,Machado et al.,2017,Do acoustic indices reflect the characteristics of bird communities in the savannas of Central Brazil?,10.1016/j.landurbplan.2017.01.014,Landsc. Urban Plan.
2740,Mammides et al. ,2017,"Do acoustic indices correlate with bird diversity? Insights from two biodiverse regions in Yunnan Province, south China",10.1016/j.ecolind.2017.07.017,Ecol. Indic.
45,McLaren,2012, Monitoring techniques for temperate bird diversity: uncovering relationships between soundscape analysis and point counts,NA,practicum
13,McWilliam & Hawkin,2013,A comparison of inshore marine soundscapes,10.1016/j.jembe.2013.05.012,J. ExpMar. Biol. Ecol
53,Moreno-Gomez,2019,"Evaluating acoustic indices in the valdivian rainforest, a biodiversity hotspot in South America",10.1016/j.ecolind.2019.03.024,Ecol. Indic.
41,Paisley-Jones,2011,Monitoring Agroecosystem Biodiversity Using Bioacoustics and Remote Recording Units,NA,thesis
54,Papin et al.,2019,Using acoustic indices to estimate wolf pack size,10.1016/j.ecolind.2019.03.010,Ecol. Indic.
4,Parks et al. ,2014,Assessing marine ecosystem acoustic diversity across ocean basins,10.1016/j.ecoinf.2013.11.003,Ecol. Inform.
60,Patrick Lyon et al.,2019,"Fish community structure, habitat complexity, and soundscape characteristics of patch reefs in a tropical, back-reef system",10.3354/meps12829,Mar. Ecol.-Prog. Ser.
37,Picciulin et al.,2016,The soundscape of a mussel farm: Biophony and man-made noise levels,10.1121/2.0000268,Proceedings of Meetings on Acoustics
1262,Pieretti et al.,2011,A new methodology to infer the singing activity of an avian community: The Acoustic Complexity Index (ACI),10.1016/j.ecolind.2010.11.005,Ecol. Indic.
2986,Raynor et al.,2017,Grassland bird community and acoustic complexity appear uffected by proximity to a wind energy facility in the Nebraska Sandhills,10.1650/CONDOR-16-164.1,Condor
15,Roca & Proulx ,2016,Acoustic assessment of species richness and assembly rules in ensiferan communities from temperate ecosystems,10.1890/15-0290.1,Ecology
80,Staaterman et al.,2017,Bioacoustic measurements complement visual biodiversity surveys: preliminary evidence from four shallow marine habitats,10.3354/meps12188,Mar. Ecol.-Prog. Ser.
2745,Sueur et al. ,2008,Rapid Acoustic Survey for Biodiversity Appraisal,10.1371/journal.pone.0004065,PLoS One
92,Torti et al.,2018,Call and be counted! Can we reliably estimate the number of callers in the indri's (Indri indri) song?,10.1371/journal.pone.0201664,
14,Wa Maina et al. ,2016,A Bioacoustic Record of a Conservancy in the Mount Kenya Ecosystem,10.3897/bdj.4.e9906,BDJ
17,Zhang et al.,2015,Computer-assisted sampling of acoustic data for more efficient determination of bird species richness,10.1109/ICDMW.2015.42,IEEE.Conference.procedings
